DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0.00,3798,-,All Island
0.25,3810,-,All Island
0.50,3733,-,All Island
0.75,3670,-,All Island
1.00,3625,-,All Island
1.25,3567,-,All Island
1.50,3518,-,All Island
1.75,3447,-,All Island
2.00,3448,-,All Island
2.25,3426,-,All Island
2.50,3389,-,All Island
2.75,3362,-,All Island
3.00,3339,-,All Island
3.25,3322,-,All Island
3.50,3291,-,All Island
3.75,3270,-,All Island
4.00,3241,-,All Island
4.25,3240,-,All Island
4.50,3238,-,All Island
4.75,3246,-,All Island
5.00,3266,-,All Island
5.25,3277,-,All Island
5.50,3281,-,All Island
5.75,3299,-,All Island
6.00,3364,-,All Island
6.25,3436,-,All Island
6.50,3471,-,All Island
6.75,3495,-,All Island
7.00,3561,-,All Island
7.25,3697,-,All Island
7.50,3773,-,All Island
7.75,3898,-,All Island
8.00,4016,-,All Island
8.25,4182,-,All Island
8.50,4293,-,All Island
8.75,4386,-,All Island
9.00,4458,-,All Island
9.25,4500,-,All Island
9.50,4538,-,All Island
9.75,4568,-,All Island
10.00,4577,-,All Island
10.25,4621,-,All Island
10.50,4615,-,All Island
10.75,4611,-,All Island
11.00,4612,-,All Island
11.25,4628,-,All Island
11.50,4611,-,All Island
11.75,4616,-,All Island
12.00,4598,-,All Island
12.25,-,-,All Island
12.50,-,4691,All Island
12.75,-,-,All Island
13.00,-,4666,All Island
13.25,-,-,All Island
13.50,-,4600,All Island
13.75,-,-,All Island
14.00,-,4522,All Island
14.25,-,-,All Island
14.50,-,4498,All Island
14.75,-,-,All Island
15.00,-,4457,All Island
15.25,-,-,All Island
15.50,-,4462,All Island
15.75,-,-,All Island
16.00,-,4480,All Island
16.25,-,-,All Island
16.50,-,4537,All Island
16.75,-,-,All Island
17.00,-,4674,All Island
17.25,-,-,All Island
17.50,-,4775,All Island
17.75,-,-,All Island
18.00,-,4825,All Island
18.25,-,-,All Island
18.50,-,4773,All Island
18.75,-,-,All Island
19.00,-,4714,All Island
19.25,-,-,All Island
19.50,-,4639,All Island
19.75,-,-,All Island
20.00,-,4630,All Island
20.25,-,-,All Island
20.50,-,4795,All Island
20.75,-,-,All Island
21.00,-,4731,All Island
21.25,-,-,All Island
21.50,-,4577,All Island
21.75,-,-,All Island
22.00,-,4376,All Island
22.25,-,-,All Island
22.50,-,4178,All Island
22.75,-,-,All Island
23.00,-,3958,All Island
23.25,-,-,All Island
23.50,-,3782,All Island
23.75,-,-,All Island
